Timestamp,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude,Duration,Distance,Speed,DayOfWeek,HourOfDay,IsWeekend,IsRushHour
2025-02-21T10:35:43.395Z,17.4875,78.3953,17.4487,78.3908,455.2,5840.7,12.831063268892795,5,16,false,true
2025-02-21T10:35:46.097Z,12.9716,77.5946,13.1989,77.7068,2197.2,34437.4,15.673311487347535,5,16,false,true
2025-02-21T10:35:48.303Z,17.4875,78.3953,17.4487,78.3908,455.2,5840.7,12.831063268892795,5,16,false,true
2025-02-21T10:35:50.536Z,12.9716,77.5946,13.1989,77.7068,2197.2,34437.4,15.673311487347535,5,16,false,true
2025-02-21T10:35:52.735Z,17.4875,78.3953,17.4487,78.3908,455.2,5840.7,12.831063268892795,5,16,false,true
2025-02-21T10:35:54.939Z,12.9716,77.5946,13.1989,77.7068,2197.2,34437.4,15.673311487347535,5,16,false,true
2025-02-21T10:35:57.139Z,17.4875,78.3953,17.4487,78.3908,455.2,5840.7,12.831063268892795,5,16,false,true
2025-02-21T10:35:59.360Z,12.9716,77.5946,13.1989,77.7068,2197.2,34437.4,15.673311487347535,5,16,false,true
2025-02-21T10:36:01.562Z,17.4875,78.3953,17.4487,78.3908,455.2,5840.7,12.831063268892795,5,16,false,true
2025-02-21T10:36:03.776Z,12.9716,77.5946,13.1989,77.7068,2197.2,34437.4,15.673311487347535,5,16,false,true
2025-02-21T10:36:05.984Z,17.4875,78.3953,17.4487,78.3908,455.2,5840.7,12.831063268892795,5,16,false,true
2025-02-21T10:36:08.179Z,12.9716,77.5946,13.1989,77.7068,2197.2,34437.4,15.673311487347535,5,16,false,true
2025-02-21T10:36:10.387Z,17.4875,78.3953,17.4487,78.3908,455.2,5840.7,12.831063268892795,5,16,false,true
2025-02-21T10:36:12.586Z,12.9716,77.5946,13.1989,77.7068,2197.2,34437.4,15.673311487347535,5,16,false,true
2025-02-21T10:36:14.787Z,17.4875,78.3953,17.4487,78.3908,455.2,5840.7,12.831063268892795,5,16,false,true
2025-02-21T10:36:16.988Z,12.9716,77.5946,13.1989,77.7068,2197.2,34437.4,15.673311487347535,5,16,false,true
2025-02-21T10:36:19.188Z,17.4875,78.3953,17.4487,78.3908,455.2,5840.7,12.831063268892795,5,16,false,true
2025-02-21T10:36:21.393Z,12.9716,77.5946,13.1989,77.7068,2197.2,34437.4,15.673311487347535,5,16,false,true
2025-02-21T10:36:23.582Z,17.4875,78.3953,17.4487,78.3908,455.2,5840.7,12.831063268892795,5,16,false,true
2025-02-21T10:36:25.787Z,12.9716,77.5946,13.1989,77.7068,2197.2,34437.4,15.673311487347535,5,16,false,true
