Timestamp,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude,Duration,Distance,TrafficDelay,LiveTrafficIncidents,AverageSpeed,DayOfWeek,HourOfDay,IsWeekend,IsRushHour
2025-02-21T10:47:11.725Z,17.4875,78.3953,17.4487,78.3908,903,5830,0,0,23.242524916943523,5,16,false,true
2025-02-21T10:47:14.636Z,12.9716,77.5946,13.1989,77.7068,3535,35018,103,0,35.66189533239038,5,16,false,true
2025-02-21T10:47:17.240Z,17.4875,78.3953,17.4487,78.3908,903,5830,0,0,23.242524916943523,5,16,false,true
2025-02-21T10:47:19.697Z,12.9716,77.5946,13.1989,77.7068,3468,35018,9,0,36.350865051903114,5,16,false,true
2025-02-21T10:47:22.333Z,17.4875,78.3953,17.4487,78.3908,903,5830,0,0,23.242524916943523,5,16,false,true
2025-02-21T10:47:24.763Z,12.9716,77.5946,13.1989,77.7068,3468,35018,9,0,36.350865051903114,5,16,false,true
2025-02-21T10:47:27.422Z,17.4875,78.3953,17.4487,78.3908,903,5830,0,0,23.242524916943523,5,16,false,true
2025-02-21T10:47:29.826Z,12.9716,77.5946,13.1989,77.7068,3467,35018,9,0,36.36134987020479,5,16,false,true
2025-02-21T10:47:32.482Z,17.4875,78.3953,17.4487,78.3908,903,5830,0,0,23.242524916943523,5,16,false,true
2025-02-21T10:47:34.888Z,12.9716,77.5946,13.1989,77.7068,3524,35018,86,0,35.773212258796825,5,16,false,true
2025-02-21T10:47:37.679Z,17.4875,78.3953,17.4487,78.3908,903,5830,0,0,23.242524916943523,5,16,false,true
2025-02-21T10:47:40.105Z,12.9716,77.5946,13.1989,77.7068,3524,35018,86,0,35.773212258796825,5,16,false,true
2025-02-21T10:47:42.851Z,17.4875,78.3953,17.4487,78.3908,903,5830,0,0,23.242524916943523,5,16,false,true
2025-02-21T10:47:45.327Z,12.9716,77.5946,13.1989,77.7068,3593,35018,206,0,35.08622321180072,5,16,false,true
2025-02-21T10:47:48.216Z,17.4875,78.3953,17.4487,78.3908,903,5830,0,0,23.242524916943523,5,16,false,true
2025-02-21T10:47:50.694Z,12.9716,77.5946,13.1989,77.7068,3462,35018,8,0,36.413864818024265,5,16,false,true
2025-02-21T10:47:53.340Z,17.4875,78.3953,17.4487,78.3908,903,5830,0,0,23.242524916943523,5,16,false,true
2025-02-21T10:47:55.824Z,12.9716,77.5946,13.1989,77.7068,3602,35018,206,0,34.99855635757912,5,16,false,true
2025-02-21T10:47:58.451Z,17.4875,78.3953,17.4487,78.3908,903,5830,0,0,23.242524916943523,5,16,false,true
2025-02-21T10:48:00.860Z,12.9716,77.5946,13.1989,77.7068,3595,35018,206,0,35.06670375521558,5,16,false,true
